DocId
1905-2-1-66
1905-2-11-27
1905-2-2-37
1906-3-4-39
1906-3-8-55
1907-4-11-20
1907-4-12-53
1907-4-7-38
1908-5-1-9
1909-6-9-65
1910-7-4-14
1910-7-8-14
1911-8-12-7
1911-8-8-2
1913-10-10-72
1913-10-11-83
1913-10-8-54
1914-11-6-41
1915-12-10-52
1915-12-11-117
1915-12-11-42
1915-12-12-108
1915-12-2-26
1915-12-3-35
1915-12-8-4
1915-12-9-99
1916-13-7-104
1916-13-8-100
1916-13-9-90
1917-14-10-45
1917-14-10-52
1917-14-11-53
1917-14-12-53
1917-14-12-58
1917-14-3-11
1917-14-4-58
1917-14-6-53
1917-14-8-51
1918-15-3-25
1918-15-6-122
1918-15-6-17
1918-15-8-51
1918-15-8-81
1918-15-9-11
1919-16-1-109
1919-16-3-78
1919-16-8-145
1920-17-1-110
1920-17-10-77
1920-17-12-42
1920-17-13-42
1920-17-14-94
1920-17-16-113
1920-17-16-78
1920-17-17-107
1920-17-18-100
1920-17-18-120
1920-17-19-108
1920-17-21-122
1920-17-22-96
1920-17-24-119
1920-17-5-93
1921-18-1-126
1921-18-1-6
1921-18-1-95
1921-18-10-27
1921-18-10-89
1921-18-12-89
1921-18-14-103
1921-18-15-24
1921-18-16-101
1921-18-17-30
1921-18-1819-109
1921-18-1819-20
1921-18-2-92
1921-18-20-121
1921-18-20-30
1921-18-20-86
1921-18-22-253
1921-18-5-90
1921-18-6-91
1921-18-7-52
1921-18-8-72
1922-19-10-73
1922-19-12-19
1922-19-12-72
1922-19-2-2
1922-19-2-93
1922-19-3-100
1922-19-9-20
1924-21-1-12
1924-21-12-11
1924-21-13-26
1924-21-15-1
1924-21-15-3
1924-21-4-109
1925-22-1-17
1925-22-13-99
1925-22-14-93
1925-22-15-232
1925-22-17-9
1925-22-2-22
1925-22-6-100
1925-22-6-133
1925-22-9-11
1926-23-14-76
1926-23-6-75
1927-24-12-54
1927-24-14-71
1927-24-15-23
1927-24-17-21
1928-25-1-7
1928-25-10-95
1928-25-12-77
1928-25-18-18
1928-25-21-11
1928-25-6-91
1929-26-12-18
1929-26-18-85
1929-26-19-8
1929-26-6-6
1930-27-3-11
1933-30-13-270
1933-30-18-23
1934-31-1-10
1934-31-1-8
1934-31-2-9
1935-32-1-164
1935-32-1-84
1936-33-1-65
1936-33-1-89
1937-34-13-8
1939-36-2-7
1941-38-1-18
1941-38-2-4
1943-40-5-9
1945-41-2-1
1945-41-6-6
1946-42-5-2
1946-43-12-12
1946-43-5-42
1946-43-7-15
1947-44-9-5
