"","authors","nrc_negative","nrc_positive","nrc_ratio","copeopi","tw_negative","tw_positive","tw_ratio"
"1","['Y.D.']",0.174228675136116,0.225045372050817,0.0508166969147006,0.0269374951764706,0.550588235294118,0.783529411764706,0.232941176470588
"2","['于偉']",0.243421052631579,0.226973684210526,-0.0164473684210526,0.0364037765413386,0.572834645669291,0.860236220472441,0.28740157480315
"3","['于葦']",0.215796897038082,0.200282087447109,-0.0155148095909732,0.0153671171075838,0.619047619047619,0.784832451499118,0.165784832451499
"4","['仲雲']",0.232142857142857,0.0982142857142857,-0.133928571428571,-0.0868065115942029,0.594202898550725,0.427536231884058,-0.166666666666667
"5","['何西亞']",0.136363636363636,0.136363636363636,0,0.166953773684211,0.157894736842105,0.842105263157895,0.684210526315789
"6","['傖父']",0.215003866976025,0.173240525908739,-0.0417633410672854,0.00914503405321285,0.526104417670683,0.819277108433735,0.293172690763052
"7","['南雁']",0.230519480519481,0.162337662337662,-0.0681818181818182,0.00748066288209607,0.633187772925764,0.882096069868996,0.248908296943231
"8","['君實']",0.186619718309859,0.232394366197183,0.0457746478873239,0.0352965277432712,0.536231884057971,0.801242236024845,0.265010351966874
"9","['吳德彰', '周由廑']",0.115853658536585,0.164634146341463,0.0487804878048781,0.0739048270967742,0.387096774193548,0.754838709677419,0.367741935483871
"10","['吳澤炎']",0.158590308370044,0.242290748898678,0.0837004405286343,0.0711593481010363,0.440414507772021,1.06217616580311,0.621761658031088
"11","['周孝庵']",0.204123711340206,0.185567010309278,-0.0185567010309278,0.0274344533333333,0.62,0.87,0.25
"12","['周綬章']",0.176470588235294,0.270053475935829,0.0935828877005348,0.0630675924721408,0.475073313782991,1.00879765395894,0.533724340175953
"13","['周逸雲']",0.15959595959596,0.212121212121212,0.0525252525252525,0.059540161357868,0.42005076142132,0.954314720812183,0.534263959390863
"14","['唐有壬']",0.171945701357466,0.16289592760181,-0.0090497737556561,0.0471221485169492,0.434322033898305,0.815677966101695,0.38135593220339
"15","['坂本義孝']",0.215434083601286,0.221864951768489,0.00643086816720256,0.0542614484200743,0.579925650557621,0.886617100371747,0.306691449814126
"16","['姚振華']",0.115107913669065,0.151079136690647,0.0359712230215827,0.0400839154761905,0.650793650793651,0.96031746031746,0.30952380952381
"17","['張梓生']",0.229733275345607,0.151898585808013,-0.0778346895375937,-0.0227445615637272,0.739704585913607,0.676155915942398,-0.0635486699712092
"18","['徐恆耀']",0.164819944598338,0.199445983379501,0.0346260387811634,0.0737017658135283,0.480804387568556,0.822669104204753,0.341864716636197
"19","['於曙巒']",0.169267707082833,0.176470588235294,0.00720288115246098,-0.00134368231441048,0.631004366812227,0.72707423580786,0.0960698689956332
"20","['朔一']",0.135064133342479,0.25675629329858,0.121692159956101,0.093476541723544,0.299898490039335,0.954130186524553,0.654231696485218
"21","['朱正']",0.168453292496172,0.203675344563553,0.0352220520673813,0.0693449999307536,0.35234215885947,0.926680244399185,0.574338085539715
"22","['朱經農']",0.152795031055901,0.209937888198758,0.0571428571428572,0.0488492116037736,0.50188679245283,0.867924528301887,0.366037735849057
"23","['李權時']",0.189155107187894,0.223203026481715,0.0340479192938209,0.0299886186122083,0.434470377019749,0.8491921005386,0.414721723518851
"24","['李立俠']",0.22093023255814,0.133720930232558,-0.0872093023255814,0.0158362397822581,0.362903225806452,0.870967741935484,0.508064516129032
"25","['民質']",0.200440528634361,0.213656387665198,0.013215859030837,0.0718117066066066,0.606606606606607,0.837837837837838,0.231231231231231
"26","['漢聲']",0.15954415954416,0.190883190883191,0.0313390313390313,0.0800824977741935,0.267281105990783,1.02764976958525,0.76036866359447
"27","['王士森']",0.201195219123506,0.201195219123506,0,0.0684681934523809,0.5625,0.898809523809524,0.336309523809524
"28","['王成組']",0.210084033613445,0.172268907563025,-0.0378151260504202,0.034083153591954,0.376436781609195,0.764367816091954,0.387931034482759
"29","['王桐齡']",0.146167557932264,0.167557932263815,0.0213903743315508,0.0137371255474453,0.5,0.664233576642336,0.164233576642336
"30","['王造時']",0.192377495462795,0.210526315789474,0.0181488203266787,0.0226983248938429,0.487261146496815,0.87791932059448,0.390658174097665
"31","['留日學生']",0.137535816618911,0.154727793696275,0.0171919770773639,0.0378038800458716,0.481651376146789,0.862385321100917,0.380733944954128
"32","['程樹仁']",0.125592417061611,0.218009478672986,0.0924170616113744,0.0783341027227723,0.366336633663366,1.14356435643564,0.777227722772277
