"","category_sup","nrc_negative","nrc_positive","nrc_ratio","copeopi","tw_negative","tw_positive","tw_ratio"
"1","內外",0.132695262491644,0.214942750993468,0.0822474885018247,0.0866566622763992,0.373471399199252,1.08655353150522,0.713082132305972
"2","其它",0.186217923299411,0.190981906498397,0.0047639831989858,0.0214849944924169,0.436057522120403,0.652644540997206,0.216587018876802
"3","國內",0.211964229561281,0.125717436610694,-0.0862467929505872,-0.023654280378669,0.552812395509028,0.604997905543856,0.0521855100348282
"4","國際",0.154929466725203,0.195220436525352,0.0402909698001491,0.0449256527074876,0.414073212933529,0.857127104046185,0.443053891112656
"5","圖畫",0,0,0,NA,NA,NA,NA
"6","宗敎",0.155120155877896,0.193440138558129,0.0383199826802338,0.0828770895833333,0.27323717948718,0.955929487179487,0.682692307692308
"7","工商",0.181157288840429,0.149930268529553,-0.0312270203108756,0.0273879553238725,0.558155898846228,0.797703199192145,0.239547300345917
"8","廣告",0.107957223042612,0.118065824118955,0.010108601076343,0.0816530042261905,0.137698412698413,0.721031746031746,0.583333333333333
"9","教育",0.147503814590336,0.198446271441195,0.0509424568508597,0.080986730125928,0.325240050178823,0.907572020972983,0.58233197079416
"10","文藝",0.115107913669065,0.151079136690647,0.0359712230215827,0.0400839154761905,0.650793650793651,0.96031746031746,0.30952380952381
"11","法律",0.129676743489973,0.166990920881971,0.0373141773919984,0.0765774927497315,0.353383458646617,1.06484962406015,0.711466165413534
"12","無專欄",0.194324235806953,0.201152573976739,0.00682833816978623,0.0316362671658942,0.557470759429217,0.82528456390732,0.267813804478103
"13","社論",0.115916955017301,0.208525567089581,0.0926086120722799,0.0759513469520341,0.325266227343379,1.00829832877311,0.683032101429728
"14","記載",0.189324640695669,0.161061651949886,-0.0282629887457835,0.0349959072056443,0.745937635810517,0.780288771962501,0.0343511361519836
"15","資料",0.0900473933649289,0.270142180094787,0.180094786729858,0.0946951701298701,0.311688311688312,1.16883116883117,0.857142857142857
